taxa_de_abandono_ensino_medio,zona_de_localizacao,dependencia_administrativa
--,Rural,Estadual
--,Rural,Municipal
--,Urbana,Municipal
--,Rural,Municipal
8.4,Urbana,Estadual
--,Urbana,Municipal
--,Rural,Municipal
5.6,Urbana,Estadual
--,Rural,Municipal
--,Urbana,Municipal
--,Rural,Municipal
--,Urbana,Municipal
--,Urbana,Municipal
--,Rural,Municipal
--,Urbana,Estadual
2.8,Urbana,Estadual
--,Urbana,Municipal
0,Rural,Estadual
--,Rural,Estadual
0,Rural,Estadual
--,Rural,Estadual
--,Rural,Estadual
0,Rural,Estadual
--,Urbana,Municipal
--,Rural,Municipal
--,Urbana,Municipal
--,Urbana,Privada
--,Urbana,Estadual
--,Urbana,Estadual
--,Urbana,Municipal
17.3,Urbana,Estadual
--,Rural,Municipal
--,Urbana,Municipal
3.4,Urbana,Estadual
--,Urbana,Municipal
--,Rural,Municipal
--,Urbana,Municipal
--,Urbana,Estadual
--,Rural,Municipal
--,Rural,Municipal
--,Urbana,Municipal
--,Urbana,Municipal
--,Urbana,Estadual
--,Rural,Municipal
0,Urbana,Privada
--,Urbana,Municipal
--,Urbana,Municipal
--,Urbana,Municipal
--,Rural,Municipal
1.5,Urbana,Estadual
7.3,Urbana,Estadual
--,Urbana,Municipal
--,Urbana,Municipal
--,Urbana,Municipal
--,Urbana,Municipal
--,Urbana,Municipal
--,Rural,Municipal
--,Urbana,Privada
7.6,Urbana,Estadual
--,Urbana,Privada
18.8,Rural,Estadual
--,Urbana,Municipal
0,Urbana,Privada
13.8,Rural,Federal
--,Urbana,Municipal
--,Rural,Estadual
--,Urbana,Municipal
0,Rural,Estadual
0.7,Urbana,Estadual
--,Urbana,Municipal
0,Urbana,Privada
--,Rural,Municipal
--,Urbana,Estadual
6.4,Urbana,Estadual
15.8,Urbana,Estadual
--,Rural,Municipal
3.3,Urbana,Estadual
--,Rural,Municipal
0,Urbana,Privada
--,Rural,Municipal
--,Urbana,Estadual
--,Urbana,Estadual
--,Urbana,Estadual
0,Rural,Estadual
--,Urbana,Estadual
--,Rural,Municipal
--,Urbana,Estadual
--,Rural,Municipal
--,Rural,Municipal
--,Urbana,Municipal
--,Rural,Municipal
--,Rural,Municipal
--,Urbana,Municipal
--,Rural,Municipal
22.2,Rural,Estadual
0,Rural,Estadual
7.1,Rural,Estadual
1.3,Urbana,Privada
--,Urbana,Estadual
0.4,Urbana,Estadual
5,Urbana,Estadual
0.8,Rural,Privada
--,Urbana,Municipal
